tweet_id,text,airline_sentiment,airline_sentiment_confidence,airline,negativereason,negativereason_confidence,tweet_created,retweet_count,clean_text,label
569531988702576640,@united DM'd you 4 hrs ago at your request. No response to be found .... just like my bag.,negative,1.0,United,Lost Luggage,0.684,2015-02-22 08:19:42 -0800,0,dmd you hrs ago at your request no response to be found just like my bag,0
569626884549578752,"@JetBlue if you want to be helpful, find us a seat. Don't quote terms and conditions. #jetbluefail",negative,1.0,Delta,Flight Booking Problems,0.6838,2015-02-22 14:36:47 -0800,0,if you want to be helpful find us a seat dont quote terms and conditions jetbluefail,0
568775493727551488,@USAirways doesn't seem likely bc your team failed to scan my bag in LAX and you recycle bagtag numbers that doesn't help #usairwaysfail,negative,1.0,US Airways,Lost Luggage,0.6601,2015-02-20 06:13:39 -0800,0,doesnt seem likely bc your team failed to scan my bag in lax and you recycle bagtag numbers that doesnt help usairwaysfail,0
569296585697464320,@united 4595. We are now going back to the gate b/c of something overheating after sitting out here for 3+ hours.Love United but this stinks,negative,1.0,United,Late Flight,0.657,2015-02-21 16:44:17 -0800,1,we are now going back to the gate bc of something overheating after sitting out here for hourslove united but this stinks,0
567880238962716672,@SouthwestAir please help on hold forever to check in for flight,negative,1.0,Southwest,Customer Service Issue,0.6611,2015-02-17 18:56:14 -0800,0,please help on hold forever to check in for flight,0
569911344658386944,"@AmericanAir Also, I have to wait more than 2 hours before I can speak to someone on the phone?  I can't wait 2 hours.  :(",negative,1.0,American,Customer Service Issue,1.0,2015-02-23 09:27:07 -0800,0,also i have to wait more than hours before i can speak to someone on the phone i cant wait hours,0
569754180883247104,"@USAirways @PDQuigley any progress? Good luck, Patrick!",neutral,0.695,US Airways,,,2015-02-22 23:02:36 -0800,0,any progress good luck patrick!,1
568630779720417280,@SouthwestAir how about some sweet promo code to help me visit my family!!!.... Please!!!... Lol,neutral,1.0,Southwest,,,2015-02-19 20:38:37 -0800,0,how about some sweet promo code to help me visit my family!!! please!!! lol,1
570224942681206786,@AmericanAir living in DFW.. Your Hub.. Hate having to fly to JFK to get to Ireland,negative,0.6578,American,Bad Flight,0.3498,2015-02-24 06:13:15 -0800,0,living in dfw your hub hate having to fly to jfk to get to ireland,0
569703802783145984,@AmericanAir How do I check? Reservation for Joe Watson and Kelsey Jennings. We were on hold for 2 hours. Waiting for call back now. ETA?,negative,0.6488,American,Customer Service Issue,0.6488,2015-02-22 19:42:25 -0800,0,how do i check reservation for joe watson and kelsey jennings we were on hold for hours waiting for call back now eta,0
